animalname,email,phoneNumber,dob,category
mufasa,harikalyan2012@gmail.com,2147798563,12-04-18,herbivores
scar uncle,harikalyan91tronn@gmail.com,9856321412,12-04-19,carnivores
rodey,rodey@gmail.com,9856321446,12-04-20,omnivores
chimp,chimp@gmail.com,9856321474,12-04-21,reptiles
looney,looney@gmail.com,9856745632,12-04-22,amphibian
jack,jack@gnail.com,2147798564,12-04-05,herbivores
jill,jill@gmail.om,9856321413,12-04-06,carnivores
went,went@gmail.com,9856321447,12-04-07,omnivores
up the,up@gmail.com,9856321475,12-04-08,reptiles
hill,hill@gmail.com,9856745633,12-04-09,amphibian
to fetch,fetch@gmai.com,2147798565,12-04-10,herbivores
